;group;target;equal;count
0;hde-OM1-2;4;0,0;2
1;hde-OM1-3;5;0,0;1
2;hde-OM1-3;7;0,0;3
3;hde-OM1-3;10;0,0;1
4;hde-OM1-3;11;0,0;3
5;hde-OM1-3;13;0,0;1
6;hde-OM1-3;14;0,0;1
7;hde-OM1-4;15;0,0;1
8;hde-OM1-4;16;1,0;1
9;hde-OM1-4;17;0,0;2
10;hde-OM1-4;18;0,0;1
11;hde-OM1-5;21;0,0;4
12;hde-OM1-5;22;0,0;4
13;hde-OM1-5;24;0,0;1
14;hde-OM1-6;27;0,6666666666666666;3
15;hde-OM2-1;5;0,0;1
16;hde-OM2-1;6;0,0;3
17;hde-OM2-1;7;0,0;1
18;hde-OM2-1;8;1,0;1
19;hde-OM2-1;12;0,0;2
20;hde-OM2-1;14;0,0;1
21;hde-OM2-1;15;0,0;2
22;hde-OM2-1;16;0,0;1
23;hde-OM2-2;30;0,0;1
24;hde-OM2-2;31;0,0;1
25;hde-OM2-3;33;1,0;2
26;hde-OM2-3;34;0,0;1
27;hde-OM2-5;33;0,0;2
28;hde-OM2-5;34;0,5;2
29;hde-OM2-5;35;1,0;1
30;hde-OM2-5;37;0,0;2
31;hde-OM2-5;38;0,0;1
32;hde-OM2-5;44;1,0;1
33;hde-OM2-6;45;1,0;1
34;hde-OM2-6;46;0,0;2
35;hde-OM2-6;48;0,0;1
36;hde-OM3-1;41;0,3333333333333333;3
37;hde-OM3-3;42;0,0;1
38;hde-OM3-3;43;1,0;2
39;hde-OM3-3;46;0,0;2
40;hde-OM3-3;47;0,0;1
41;hde-OM3-3;48;0,0;3
42;hde-OM3-3;49;0,0;1
43;hde-OM3-3;52;0,0;1
44;mde-OM1-2;27;0,0;1
45;mde-OM1-2;29;0,0;1
46;mde-OM1-2;31;0,0;3
47;mde-OM1-2;32;1,0;1
48;mde-OM1-2;34;0,0;1
49;mde-OM1-3;36;0,0;1
50;mde-OM1-3;37;0,0;2
51;mde-OM1-3;38;0,0;1
52;mde-OM1-3;39;0,0;3
53;mde-OM1-3;40;0,0;1
54;mde-OM1-3;41;0,0;3
55;mde-OM1-3;42;0,0;1
56;mde-OM1-3;43;0,0;1
57;mde-OM1-3;45;0,0;1
58;mde-OM1-3;49;0,0;1
59;mde-OM1-3;52;0,6;5
60;mde-OM1-3;53;0,0;1
61;mde-OM1-3;54;0,0;2
62;mde-OM1-4;54;0,0;1
63;mde-OM1-4;55;1,0;4
64;mde-OM1-4;56;0,16666666666666666;6
65;mde-OM1-4;57;0,0;1
66;mde-OM1-4;58;0,0;2
67;mde-OM1-4;59;0,0;1
68;mde-OM1-4;60;0,0;2
69;mde-OM1-4;63;0,0;1
70;mde-OM1-4;64;0,0;1
71;mde-OM1-4;66;0,0;1
72;mde-OM1-4;67;0,0;1
73;mde-OM1-4;68;0,0;1
74;mde-OM1-6;64;0,0;2
75;mde-OM1-6;66;0,0;1
76;mde-OM1-6;67;0,0;1
77;mde-OM1-6;68;0,0;1
78;mde-OM1-7;69;1,0;2
79;mde-OM3-1;31;1,0;1
80;mde-OM3-11;71;1,0;3
81;mde-OM3-12;72;0,0;2
82;mde-OM3-12;73;0,75;4
83;mde-OM3-12;76;0,0;1
84;mde-OM3-13;0;0,0;2
85;mde-OM3-13;45;0,8888888888888888;18
86;mde-OM3-13;46;0,7692307692307693;13
87;mde-OM3-13;47;0,0;19
88;mde-OM3-13;48;0,0;12
89;mde-OM3-13;50;0,0;1
90;mde-OM3-13;51;0,0;1
91;mde-OM3-13;54;0,0;1
92;mde-OM3-13;56;0,0;1
93;mde-OM3-13;57;0,0;2
94;mde-OM3-13;59;0,0;1
95;mde-OM3-13;60;0,0;9
96;mde-OM3-13;62;0,0;1
97;mde-OM3-13;64;0,0;1
98;mde-OM3-13;65;0,0;1
99;mde-OM3-13;67;0,0;1
100;mde-OM3-13;68;0,0;1
101;mde-OM3-13;69;0,0;1
102;mde-OM3-13;71;0,0;1
103;mde-OM3-13;74;0,0;1
104;mde-OM3-13;76;0,0;1
105;mde-OM3-13;77;0,0;1
106;mde-OM3-13;78;0,0;1
107;mde-OM3-13;79;0,0;3
108;mde-OM3-13;80;0,0;3
109;mde-OM3-13;81;0,0;1
110;mde-OM3-13;82;0,0;2
111;mde-OM3-4;32;1,0;4
112;mde-OM3-4;33;0,0;2
113;mde-OM3-4;34;0,0;2
114;mde-OM3-4;36;0,0;3
115;mde-OM3-4;37;0,0;1
116;mde-OM3-4;39;0,0;3
117;mde-OM3-4;40;0,0;1
118;mde-OM3-4;41;0,0;2
119;mde-OM3-5;48;1,0;4
120;mde-OM3-5;49;0,0;1
121;mde-OM3-5;50;1,0;1
122;mde-OM3-6;50;0,0;4
123;mde-OM3-6;51;1,0;2
124;mde-OM3-6;52;1,0;1
125;mde-OM3-6;53;0,0;2
126;mde-OM3-6;56;0,0;1
127;mde-OM3-7;60;0,0;1
128;mde-OM3-7;61;1,0;2
129;mde-OM3-7;63;0,0;2
130;mde-OM3-8;65;1,0;1
131;mde-OM3-8;66;0,0;4
132;mde-OM3-9;63;0,0;4
133;mde-OM3-9;64;0,75;4
134;mde-OM3-9;65;0,0;2
135;mde-OM3-9;66;0,0;2
136;mde-OM3-9;72;0,0;1
